what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1517627258353
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1517627258353
java.vm.specification.version,sysinfo,,,"1.8",1517627258353
java.vm.vendor,sysinfo,,,"Oracle Corporation",1517627258353
java.vm.version,sysinfo,,,"25.161-b12",1517627258353
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627293335
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627294799
started,bundle,org.eclipse.help.base,3.5.0.v201006080911,"org.eclipse.help.base",1517627303459
started,bundle,org.eclipse.help.ui,3.5.0.v20100517,"org.eclipse.help.ui",1517627303501
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20100503,"org.eclipse.equinox.http.jetty",1517627303569
started,bundle,org.eclipse.equinox.http.servlet,1.1.0.v20100503,"org.eclipse.equinox.http.servlet",1517627303605
started,bundle,org.eclipse.equinox.http.registry,1.1.0.v20100503,"org.eclipse.equinox.http.registry",1517627303721
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627303912
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1517627304142
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20100421,"org.eclipse.equinox.jsp.jasper",1517627304147
started,bundle,org.eclipse.help.webapp,3.5.0.v20100507,"org.eclipse.help.webapp",1517627304853
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627308789
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1517627312480
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1517627312546
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1517627312660
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627325977
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1517627335951
opened,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1517627335993
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627336012
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1517627336104
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1517627336453
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1517627338806
closed,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1517627338806
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1517627340537
